version              n    time(s)  Normalized(ns)
ver4d_local \t   06000  0.2275   6.3196 
ver4d_local \t   06000  0.2136   5.9321 
ver4d_local \t   06000  0.3267   9.0742 
ver4d_local \t   06000  0.2426   6.7382 


ver3d_local \t   00250  0.0001   1.9520 
ver3d_local \t   00250  0.0001   1.5520 
ver3d_local \t   00250  0.0001   1.5040 
ver3d_local \t   00250  0.0001   1.5040 
ver3d_local \t   00250  0.0001   1.4560 
ver3d_local \t   00250  0.0001   1.5680 
ver3d_local \t   00250  0.0001   1.6640 
ver3d_local \t   00250  0.0001   1.5360 
ver3d_local \t   00250  0.0001   1.4720 
ver3d_local \t   00250  0.0001   1.5680 
ver3d_local \t   00250  0.0001   1.5360 
ver3d_local \t   00250  0.0001   1.6640 
ver3d_local \t   00250  0.0001   1.6000 
ver3d_local \t   00250  0.0001   1.7280 
ver3d_local \t   00250  0.0001   1.7120 
ver3d_local \t   00250  0.0001   1.7920 
ver3d_local \t   00250  0.0001   1.8880 
ver3d_local \t   00250  0.0001   1.7120 
ver3d_local \t   00250  0.0001   1.8080 
ver3d_local \t   00250  0.0001   1.7280 
ver3d_local \t   00250  0.0001   1.6160 
ver3d_local \t   00250  0.0001   1.5840 
ver3d_local \t   00250  0.0001   1.7600 
ver3d_local \t   00250  0.0002   2.4320 
ver3d_local \t   00250  0.0001   1.7120 
ver3d_local \t   00250  0.0001   1.7120 
ver3d_local \t   00250  0.0001   1.7440 
ver3d_local \t   00250  0.0001   1.5520 
ver3d_local \t   00250  0.0001   1.4400 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0880 
ver3d_local \t   00250  0.0001   1.0720 
ver3d_local \t   00250  0.0001   1.0880 
